도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
60861,경기도,시흥시,대야동,대야동,344-13,복지로,123,대야33통,용우빌라,B,B01,경기도 시흥시 대야동 344-13,경기도 시흥시 대야동 344-13번지,1989-08-30,다세대주택,경기도 시흥시 대야동 344-13번지,2011-07-27,2011,4269,792.3388599,2,POINT (126.79191945437 37.4495213327229),126.79191945437,37.4495213327229
60860,경기도,시흥시,대야동,대야동,344-12,복지로,123,대야33통,용우빌라,A,B02,경기도 시흥시 대야동 344-12,경기도 시흥시 대야동 344-12번지,1989-08-30,다세대주택,경기도 시흥시 대야동 344-12번지,2011-07-27,2011,4269,792.3388599,2,POINT (126.792020875398 37.4495845322728),126.792020875398,37.4495845322728
48588,경기도,고양시덕양구,행신2동,강매동,267-4,강매로,124-6,28통,\N,\N,\N,경기도 고양시덕양구 행신2동 267-4,경기도 고양시 덕양구 강매동 267-4번지,1994-03-25,단독주택,경기도 고양시 덕양구 강매동 267-4번지,2011-07-27,2011,3941,86857.69951,2,POINT (126.843616434766 37.5990501267831),126.843616434766,37.5990501267831
48589,경기도,고양시덕양구,행신2동,강매동,267-4,강매로,124-6,28통,\N,\N,\N,경기도 고양시덕양구 행신2동 267-4,경기도 고양시 덕양구 강매동 267-4번지,1994-03-25,단독주택,경기도 고양시 덕양구 강매동 267-4번지,2011-07-27,2011,3941,86857.69951,2,POINT (126.843616434766 37.5990501267831),126.843616434766,37.5990501267831
48591,경기도,고양시덕양구,행신2동,강매동,395-1,강매로,199-15,27통,\N,\N,\N,경기도 고양시덕양구 행신2동 395-1,경기도 고양시 덕양구 강매동 395-1번지,1995-09-19,일반음식점,경기도 고양시 덕양구 강매동 395-1번지,2011-07-27,2011,3941,86857.69951,2,POINT (126.842029991952 37.6049224462383),126.842029991952,37.6049224462383
48592,경기도,고양시덕양구,행신2동,강매동,395-1,강매로,199-15,27통,\N,\N,\N,경기도 고양시덕양구 행신2동 395-1,경기도 고양시 덕양구 강매동 395-1번지,1995-09-19,일반음식점,경기도 고양시 덕양구 강매동 395-1번지,2011-07-27,2011,3941,86857.69951,2,POINT (126.842029991952 37.6049224462383),126.842029991952,37.6049224462383
47665,서울특별시,양천구,신정3동,신정동,1155-25,중앙로29길,25-24,14통,\N,\N,지층왼쪽,서울특별시 양천구 신정3동 1155-25,서울특별시 양천구 신정동 1155-25번지,1990-08-01,다가구주택,서울특별시 양천구 신정동 1155-25번지,2012-01-01,2012,264,0,3,POINT (126.851221586974 37.5159250327926),126.851221586974,37.5159250327926
48667,서울특별시,양천구,신정3동,신정동,1191-16,신월로28길,Mar-33,2통,\N,\N,\N,서울특별시 양천구 신정3동 1191-16,서울특별시 양천구 신정동 1191-16번지,1996-07-30,다가구주택,서울특별시 양천구 신정동 1191-16번지,2012-01-01,2012,292,0,3,POINT (126.851528113173 37.5210250436892),126.851528113173,37.5210250436892
48701,서울특별시,양천구,신정3동,신정동,1194-1,신월로,228,3통,대신빌라,\N,B02,서울특별시 양천구 신정3동 1194-1,서울특별시 양천구 신정동 1194-1번지,1993-10-04,연립주택,서울특별시 양천구 신정동 1194-1번지,2012-01-01,2012,248,0,3,POINT (126.847069359779 37.521965451316),126.847069359779,37.521965451316
48702,서울특별시,양천구,신정3동,신정동,1194-1,신월로,228,3통,대신빌라,\N,B03,서울특별시 양천구 신정3동 1194-1,서울특별시 양천구 신정동 1194-1번지,1993-10-04,연립주택,서울특별시 양천구 신정동 1194-1번지,2012-01-01,2012,248,0,3,POINT (126.847069359779 37.521965451316),126.847069359779,37.521965451316
